Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
fresh,1.1804,per_pound,0.4586,0.4519,pounds,1.1633
fresh,1.5193,per_pound,0.9,0.2425,pounds,0.4094
canned,1.066,per_pound,1.0,0.5401,pounds,0.5758
juice,0.5853,per_pint,1.0,8.0,fluid_ounces,0.2926
juice,0.7804,per_pint,1.0,8.0,fluid_ounces,0.3902
fresh,2.9665,per_pound,0.93,0.3638,pounds,1.1603
dried,6.6188,per_pound,1.0,0.1433,pounds,0.9485
canned,1.6905,per_pound,1.0,0.5401,pounds,0.9131
canned,2.06,per_pound,0.65,0.4409,pounds,1.3974
fresh,2.1913,per_pound,0.375,0.3858,pounds,2.2545
canned,3.4119,per_pound,0.65,0.3858,pounds,2.0251
fresh,2.7576,per_pound,0.4938,0.3968,pounds,2.2159
canned,3.1269,per_pound,0.65,0.3968,pounds,1.909
frozen,6.7045,per_pound,1.0335,0.3968,pounds,2.5742
fresh,2.2368,per_pound,0.7408,0.3197,pounds,0.9653
fresh,0.5249,per_pound,0.64,0.3307,pounds,0.2712
canned,1.2684,per_pound,0.65,0.3748,pounds,0.7314
frozen,3.5585,per_pound,1.0,0.3307,pounds,1.1768
canned,1.0281,per_pound,0.65,0.3858,pounds,0.6102
dried,1.3753,per_pound,2.4692,0.3858,pounds,0.2149
fresh,6.0172,per_pound,0.96,0.3197,pounds,2.0037
frozen,3.6362,per_pound,1.0,0.3307,pounds,1.2025
canned,1.0375,per_pound,0.65,0.3748,pounds,0.5982
dried,1.7584,per_pound,2.5397,0.3858,pounds,0.2671
fresh,4.1739,per_pound,0.95,0.3197,pounds,1.4045
frozen,3.3898,per_pound,1.0,0.3307,pounds,1.121
frozen,2.1543,per_pound,0.8818,0.3417,pounds,0.8348
fresh,2.7486,per_pound,1.0,0.3417,pounds,0.9393
fresh,2.3065,per_pound,0.78,0.3417,pounds,1.0105
fresh,2.6895,per_pound,1.06,0.3417,pounds,0.867
frozen,2.6214,per_pound,0.96,0.3417,pounds,0.9331
fresh,1.2325,per_pound,0.714,0.4519,pounds,0.7802
fresh,0.7025,per_pound,0.7788,0.3307,pounds,0.2983
fresh,1.0985,per_pound,0.7791,0.3307,pounds,0.4663
canned,1.2823,per_pound,0.65,0.3086,pounds,0.6089
fresh,0.5767,per_pound,0.51,0.3748,pounds,0.4238
canned,1.1315,per_pound,0.65,0.3197,pounds,0.5565
frozen,1.6763,per_pound,0.98,0.3197,pounds,0.5468
fresh,1.2716,per_pound,1.0,0.2756,pounds,0.3504
fresh,0.8703,per_pound,0.8158,0.3197,pounds,0.341
fresh,0.8703,per_pound,0.89,0.2756,pounds,0.2695
frozen,1.9946,per_pound,0.9304,0.2756,pounds,0.5908
fresh,3.5859,per_pound,0.9702,0.2756,pounds,1.0185
fresh,1.9769,per_pound,0.8926,0.2756,pounds,0.6103
fresh,2.4041,per_pound,1.0,0.2646,pounds,0.636
fresh,0.9842,per_pound,0.73,0.2646,pounds,0.3567
fresh,3.4269,per_pound,0.92,0.3417,pounds,1.2729
canned,4.5257,per_pound,0.65,0.4409,pounds,3.07
fresh,1.3847,per_pound,0.77,0.463,pounds,0.8326
fresh,2.682,per_pound,1.16,0.2866,pounds,0.6626
canned,1.0418,per_pound,0.65,0.3638,pounds,0.583
frozen,1.9022,per_pound,0.8818,0.3638,pounds,0.7846
fresh,1.8908,per_pound,0.54,0.3638,pounds,1.2737
canned,1.0287,per_pound,0.65,0.3638,pounds,0.5757
frozen,1.6642,per_pound,0.963,0.3638,pounds,0.6286
dried,4.6513,per_pound,1.0,0.1232,pounds,0.5729
fresh,1.1933,per_pound,0.97,0.2646,pounds,0.3255
fresh,1.1933,per_pound,0.73,0.2646,pounds,0.4325
dried,5.5713,per_pound,1.0,0.1653,pounds,0.9212
dried,6.8371,per_pound,0.96,0.1653,pounds,1.1776
canned,1.7198,per_pound,1.0,0.5401,pounds,0.9289
canned,1.5932,per_pound,0.65,0.4409,pounds,1.0808
fresh,1.1695,per_pound,0.49,0.463,pounds,1.105
juice,1.0415,per_pint,1.0,8.0,fluid_ounces,0.5208
fresh,1.8398,per_pound,0.96,0.3307,pounds,0.6338
dried,3.7801,per_pound,1.0,0.1653,pounds,0.625
juice,0.7119,per_pint,1.0,8.0,fluid_ounces,0.3559
juice,0.9215,per_pint,1.0,8.0,fluid_ounces,0.4607
canned,1.0095,per_pound,0.65,0.3858,pounds,0.5992
dried,1.6965,per_pound,2.4692,0.3858,pounds,0.2651
fresh,2.1463,per_pound,0.8466,0.2756,pounds,0.6987
canned,1.0175,per_pound,0.65,0.2976,pounds,0.4659
frozen,1.946,per_pound,0.903,0.2976,pounds,0.6414
canned,1.2516,per_pound,0.65,0.3527,pounds,0.6792
frozen,1.8937,per_pound,0.8924,0.3527,pounds,0.7485
fresh,1.2772,per_pound,0.82,0.2646,pounds,0.4121
fresh,0.9056,per_pound,0.46,0.3748,pounds,0.7378
fresh,2.5018,per_pound,1.05,0.2866,pounds,0.6829
frozen,2.1257,per_pound,0.8995,0.3638,pounds,0.8597
canned,0.9719,per_pound,0.65,0.3858,pounds,0.5768
dried,1.7218,per_pound,2.4692,0.3858,pounds,0.269
fresh,2.1849,per_pound,0.76,0.3858,pounds,1.1091
dried,1.6493,per_pound,2.4692,0.3858,pounds,0.2577
fresh,0.9952,per_pound,0.95,0.2425,pounds,0.254
fresh,1.8299,per_pound,0.94,0.2094,pounds,0.4077
fresh,2.5766,per_pound,0.85,0.2094,pounds,0.6349
canned,1.4004,per_pound,0.65,0.3748,pounds,0.8075
frozen,1.8995,per_pound,1.097,0.3748,pounds,0.6489
dried,2.1861,per_pound,2.5397,0.3858,pounds,0.3321
fresh,1.1513,per_pound,0.71,0.3638,pounds,0.5898
dried,10.5527,per_pound,1.0,0.1253,pounds,1.3219
frozen,2.0033,per_pound,0.97,0.3105,pounds,0.6413
canned,1.5339,per_pound,0.65,0.3392,pounds,0.8004
frozen,1.5296,per_pound,0.99,0.3392,pounds,0.5241
frozen,1.5978,per_pound,0.97,0.334,pounds,0.5502
fresh,3.6417,per_pound,1.0,0.1543,pounds,0.562
fresh,3.4464,per_pound,0.97,0.1543,pounds,0.5483
canned,1.0496,per_pound,0.65,0.3307,pounds,0.534
frozen,1.9288,per_pound,0.7478,0.3307,pounds,0.853
canned,1.0492,per_pound,0.65,0.3858,pounds,0.6228
dried,1.4942,per_pound,2.4692,0.3858,pounds,0.2335
fresh,1.9062,per_pound,0.91,0.3197,pounds,0.6696
fresh,3.9803,per_pound,0.7695,0.3527,pounds,1.8246
frozen,1.8562,per_pound,0.8995,0.3748,pounds,0.7734
canned,5.7719,per_pound,1.0,0.2976,pounds,1.7179
fresh,0.9751,per_pound,0.9,0.3527,pounds,0.3822
fresh,1.2131,per_pound,0.68,0.4079,pounds,0.7276
