MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Jurassic Park,(1993),"
Action, Adventure, Sci-Fi            ",8.1,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
","897,444",127.0,$402.45M
The Lord of the Rings: The Fellowship of the Ring,(2001),"
Action, Adventure, Drama            ",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
","1,713,028",178.0,$315.54M
Jaws,(1975),"
Adventure, Thriller            ",8.0,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
","558,731",124.0,$260.00M
The Departed,(2006),"
Crime, Drama, Thriller            ",8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
","1,227,522",151.0,$132.38M
Gone Girl,(2014),"
Drama, Mystery, Thriller            ",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
","895,888",149.0,$167.77M
It,(I) (2017),"
Horror            ",7.3,"
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","
    Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
","480,607",135.0,$327.48M
Spider-Man: Far from Home,(2019),"
Action, Adventure, Sci-Fi            ",7.5,"
Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei
","363,012",129.0,$390.53M
The Hobbit: An Unexpected Journey,(2012),"
Adventure, Fantasy            ",7.8,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","
    Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
","774,632",169.0,$303.00M
Fast & Furious 7,(2015),"
Action, Adventure, Thriller            ",7.1,"
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","
    Director:
James Wan
| 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham
","371,194",137.0,$353.01M
Sicario,(2015),"
Action, Crime, Drama            ",7.6,"
An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.","
    Director:
Denis Villeneuve
| 
    Stars:
Emily Blunt, 
Josh Brolin, 
Benicio Del Toro, 
Jon Bernthal
","387,903",121.0,$46.89M
Spider-Man,(2002),"
Action, Adventure, Sci-Fi            ",7.3,"
When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","
    Director:
Sam Raimi
| 
    Stars:
Tobey Maguire, 
Kirsten Dunst, 
Willem Dafoe, 
James Franco
","709,684",121.0,$403.71M
Jumanji: The Next Level,(2019),"
Action, Adventure, Comedy            ",6.7,"
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
","205,638",123.0,$316.83M
