CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
0.4519,pounds,1.1633
0.2425,pounds,0.4094
0.5401,pounds,0.5758
8.0,fluid ounces,0.2926
8.0,fluid ounces,0.3902
0.3638,pounds,1.1603
0.1433,pounds,0.9485
0.5401,pounds,0.9131
0.4409,pounds,1.3974
0.3858,pounds,2.2545
0.3858,pounds,2.0251
0.3968,pounds,2.2159
0.3968,pounds,1.909
0.3968,pounds,2.5742
0.3197,pounds,0.9653
0.3307,pounds,0.2712
0.3748,pounds,0.7314
0.3307,pounds,1.1768
0.3858,pounds,0.6102
0.3858,pounds,0.2149
0.3197,pounds,2.0037
0.3307,pounds,1.2025
0.3748,pounds,0.5982
0.3858,pounds,0.2671
0.3197,pounds,1.4045
0.3307,pounds,1.121
0.3417,pounds,0.8348
0.3417,pounds,0.9393
0.3417,pounds,1.0105
0.3417,pounds,0.867
0.3417,pounds,0.9331
0.4519,pounds,0.7802
0.3307,pounds,0.2983
0.3307,pounds,0.4663
0.3086,pounds,0.6089
0.3748,pounds,0.4238
0.3197,pounds,0.5565
0.3197,pounds,0.5468
0.2756,pounds,0.3504
0.3197,pounds,0.341
0.2756,pounds,0.2695
0.2756,pounds,0.5908
0.2756,pounds,1.0185
0.2756,pounds,0.6103
0.2646,pounds,0.636
0.2646,pounds,0.3567
0.3417,pounds,1.2729
0.4409,pounds,3.07
0.463,pounds,0.8326
0.2866,pounds,0.6626
0.3638,pounds,0.583
0.3638,pounds,0.7846
0.3638,pounds,1.2737
0.3638,pounds,0.5757
0.3638,pounds,0.6286
0.1232,pounds,0.5729
0.2646,pounds,0.3255
0.2646,pounds,0.4325
0.1653,pounds,0.9212
0.1653,pounds,1.1776
0.5401,pounds,0.9289
0.4409,pounds,1.0808
0.463,pounds,1.105
8.0,fluid ounces,0.5208
0.3307,pounds,0.6338
0.1653,pounds,0.625
8.0,fluid ounces,0.3559
8.0,fluid ounces,0.4607
0.3858,pounds,0.5992
0.3858,pounds,0.2651
0.2756,pounds,0.6987
0.2976,pounds,0.4659
0.2976,pounds,0.6414
0.3527,pounds,0.6792
0.3527,pounds,0.7485
0.2646,pounds,0.4121
0.3748,pounds,0.7378
0.2866,pounds,0.6829
0.3638,pounds,0.8597
0.3858,pounds,0.5768
0.3858,pounds,0.269
0.3858,pounds,1.1091
0.3858,pounds,0.2577
0.2425,pounds,0.254
0.2094,pounds,0.4077
0.2094,pounds,0.6349
0.3748,pounds,0.8075
0.3748,pounds,0.6489
0.3858,pounds,0.3321
0.3638,pounds,0.5898
0.1253,pounds,1.3219
0.3105,pounds,0.6413
0.3392,pounds,0.8004
0.3392,pounds,0.5241
0.334,pounds,0.5502
0.1543,pounds,0.562
0.1543,pounds,0.5483
0.3307,pounds,0.534
0.3307,pounds,0.853
0.3858,pounds,0.6228
0.3858,pounds,0.2335
0.3197,pounds,0.6696
0.3527,pounds,1.8246
0.3748,pounds,0.7734
0.2976,pounds,1.7179
0.3527,pounds,0.3822
0.4079,pounds,0.7276
8.0,fluid ounces,0.3845
8.0,fluid ounces,0.4921
0.3086,pounds,0.6424
0.1543,pounds,0.8502
0.3417,pounds,0.6111
0.3307,pounds,1.12
0.5401,pounds,1.0931
0.4409,pounds,1.229
0.3638,pounds,0.6412
0.5401,pounds,1.0557
0.4409,pounds,1.2868
0.3638,pounds,0.4055
0.1543,pounds,1.0261
8.0,fluid ounces,0.3486
0.5401,pounds,0.7748
0.4409,pounds,0.9543
8.0,fluid ounces,0.5144
0.3858,pounds,0.5189
0.3858,pounds,0.2021
0.3638,pounds,0.7852
8.0,fluid ounces,0.7761
0.1874,pounds,1.0689
0.3417,pounds,1.3638
8.0,fluid ounces,1.561
0.2646,pounds,0.2179
0.3417,pounds,0.582
0.3417,pounds,0.6769
0.5401,pounds,1.0896
0.2756,pounds,0.4829
0.3197,pounds,2.2107
0.3307,pounds,1.3849
0.2646,pounds,0.6973
0.3748,pounds,0.7585
0.3748,pounds,1.0302
0.3307,pounds,1.2859
0.1543,pounds,0.4621
0.3197,pounds,0.8774
0.3307,pounds,0.9322
0.4409,pounds,0.5599
0.5401,pounds,0.5496
0.3748,pounds,1.7075
0.3748,pounds,0.9616
0.3748,pounds,0.4785
0.3197,pounds,1.0304
0.3527,pounds,0.566
0.3527,pounds,0.8841
0.3307,pounds,0.2292
0.3968,pounds,0.7987
