Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Item_Apples,"Item_Apples, applesauce","Item_Apples, frozen concentrate","Item_Apples, ready-to-drink",Item_Apricots,"Item_Apricots, packed in juice","Item_Apricots, packed in syrup or water",Item_Artichoke,Item_Asparagus,Item_Avocados,Item_Bananas,Item_Beets,"Item_Berries, mixed",Item_Black beans,Item_Blackberries,Item_Blackeye peas,Item_Blueberries,Item_Broccoli,Item_Broccoli florets,Item_Broccoli heads,Item_Brussels sprouts,Item_Butternut squash,"Item_Cabbage, green","Item_Cabbage, red","Item_Cabbage, sauerkraut",Item_Cantaloupe,Item_Carrots,"Item_Carrots, baby","Item_Carrots, cooked whole","Item_Carrots, raw whole",Item_Cauliflower,Item_Cauliflower florets,Item_Cauliflower heads,Item_Celery sticks,"Item_Celery, trimmed bunches",Item_Cherries,"Item_Cherries, packed in syrup or water",Item_Clementines,Item_Collard greens,Item_Corn,Item_Cranberries,Item_Cucumbers with peel,Item_Cucumbers without peel,Item_Dates,Item_Figs,"Item_Fruit cocktail, packed in juice","Item_Fruit cocktail, packed in syrup or water",Item_Grapefruit,"Item_Grapefruit, ready-to-drink",Item_Grapes,Item_Grapes (raisins),"Item_Grapes, frozen concentrate","Item_Grapes, ready-to-drink",Item_Great northern beans,Item_Green beans,Item_Green peas,Item_Green peppers,Item_Honeydew,Item_Kale,Item_Kidney beans,Item_Kiwi,Item_Lentils,"Item_Lettuce, iceberg","Item_Lettuce, romaine, heads","Item_Lettuce, romaine, hearts",Item_Lima beans,Item_Mangoes,"Item_Mixed vegetables, broccoli, cauliflower, carrots","Item_Mixed vegetables, peas & carrots","Item_Mixed vegetables, peas, corn, green beans","Item_Mushrooms, sliced","Item_Mushrooms, whole",Item_Mustard greens,Item_Navy beans,Item_Nectarines,Item_Okra,Item_Olives,Item_Onions,Item_Oranges,"Item_Oranges, frozen concentrate","Item_Oranges, ready-to-drink",Item_Papaya,Item_Peaches,"Item_Peaches, packed in juice","Item_Peaches, packed in syrup or water",Item_Pears,"Item_Pears, packed in juice","Item_Pears, packed in syrup or water",Item_Pineapple,"Item_Pineapple, frozen concentrate","Item_Pineapple, packed in juice","Item_Pineapple, packed in syrup or water","Item_Pineapple, ready-to-drink",Item_Pinto beans,Item_Plum,"Item_Plum (prune), ready-to-drink",Item_Plum (prunes),Item_Pomegranate,"Item_Pomegranate, ready-to-drink",Item_Potatoes,"Item_Potatoes, french fries",Item_Pumpkin,Item_Radish,Item_Raspberries,Item_Red peppers,Item_Spinach,"Item_Spinach, boiled","Item_Spinach, eaten raw",Item_Strawberries,Item_Sweet potatoes,Item_Tomatoes,"Item_Tomatoes, grape & cherry","Item_Tomatoes, large round","Item_Tomatoes, roma & plum",Item_Turnip greens,Item_Watermelon,Item_Zucchini
Fresh,1.1804,per pound,0.4586,0.4519,pounds,1.1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,1.5193,per pound,0.9,0.2425,pounds,0.4094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canned,1.066,per pound,1.0,0.5401,pounds,0.5758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juice,0.5853,per pint,1.0,8.0,fluid ounces,0.2926,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juice,0.7804,per pint,1.0,8.0,fluid ounces,0.3902,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.9665,per pound,0.93,0.3638,pounds,1.1603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dried,6.6188,per pound,1.0,0.1433,pounds,0.9485,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canned,1.6905,per pound,1.0,0.5401,pounds,0.9131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canned,2.06,per pound,0.65,0.4409,pounds,1.3974,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.1913,per pound,0.375,0.3858,pounds,2.2545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canned,3.4119,per pound,0.65,0.3858,pounds,2.0251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.7576,per pound,0.4938,0.3968,pounds,2.2159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canned,3.1269,per pound,0.65,0.3968,pounds,1.909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen,6.7045,per pound,1.0335,0.3968,pounds,2.5742,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.2368,per pound,0.7408,0.3197,pounds,0.9653,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
