Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
fresh,1.1804,per pound,0.4586,0.4519,pounds,1.1633
fresh,1.5193,per pound,0.9,0.2425,pounds,0.4094
fresh,2.9665,per pound,0.93,0.3638,pounds,1.1603
canned,2.06,per pound,0.65,0.4409,pounds,1.3974
fresh,2.2368,per pound,0.7408,0.3197,pounds,0.9653
fresh,0.5249,per pound,0.64,0.3307,pounds,0.2712
canned,1.2684,per pound,0.65,0.3748,pounds,0.7314
frozen,3.5585,per pound,1.0,0.3307,pounds,1.1768
canned,1.0281,per pound,0.65,0.3858,pounds,0.6102
frozen,3.6362,per pound,1.0,0.3307,pounds,1.2025
canned,1.0375,per pound,0.65,0.3748,pounds,0.5982
fresh,4.1739,per pound,0.95,0.3197,pounds,1.4045
frozen,3.3898,per pound,1.0,0.3307,pounds,1.121
frozen,2.1543,per pound,0.8818,0.3417,pounds,0.8348
fresh,2.7486,per pound,1.0,0.3417,pounds,0.9393
fresh,2.3065,per pound,0.78,0.3417,pounds,1.0105
fresh,2.6895,per pound,1.06,0.3417,pounds,0.867
frozen,2.6214,per pound,0.96,0.3417,pounds,0.9331
fresh,1.2325,per pound,0.714,0.4519,pounds,0.7802
fresh,0.7025,per pound,0.7788,0.3307,pounds,0.2983
fresh,1.0985,per pound,0.7791,0.3307,pounds,0.4663
canned,1.2823,per pound,0.65,0.3086,pounds,0.6089
fresh,0.5767,per pound,0.51,0.3748,pounds,0.4238
canned,1.1315,per pound,0.65,0.3197,pounds,0.5565
frozen,1.6763,per pound,0.98,0.3197,pounds,0.5468
fresh,1.2716,per pound,1.0,0.2756,pounds,0.3504
fresh,0.8703,per pound,0.8158,0.3197,pounds,0.341
fresh,0.8703,per pound,0.89,0.2756,pounds,0.2695
frozen,1.9946,per pound,0.9304,0.2756,pounds,0.5908
fresh,3.5859,per pound,0.9702,0.2756,pounds,1.0185
fresh,1.9769,per pound,0.8926,0.2756,pounds,0.6103
fresh,2.4041,per pound,1.0,0.2646,pounds,0.636
fresh,0.9842,per pound,0.73,0.2646,pounds,0.3567
fresh,3.4269,per pound,0.92,0.3417,pounds,1.2729
fresh,1.3847,per pound,0.77,0.463,pounds,0.8326
fresh,2.682,per pound,1.16,0.2866,pounds,0.6626
canned,1.0418,per pound,0.65,0.3638,pounds,0.583
frozen,1.9022,per pound,0.8818,0.3638,pounds,0.7846
fresh,1.8908,per pound,0.54,0.3638,pounds,1.2737
canned,1.0287,per pound,0.65,0.3638,pounds,0.5757
frozen,1.6642,per pound,0.963,0.3638,pounds,0.6286
fresh,1.1933,per pound,0.97,0.2646,pounds,0.3255
fresh,1.1933,per pound,0.73,0.2646,pounds,0.4325
canned,1.5932,per pound,0.65,0.4409,pounds,1.0808
fresh,1.1695,per pound,0.49,0.463,pounds,1.105
fresh,1.8398,per pound,0.96,0.3307,pounds,0.6338
canned,1.0095,per pound,0.65,0.3858,pounds,0.5992
fresh,2.1463,per pound,0.8466,0.2756,pounds,0.6987
canned,1.0175,per pound,0.65,0.2976,pounds,0.4659
frozen,1.946,per pound,0.903,0.2976,pounds,0.6414
canned,1.2516,per pound,0.65,0.3527,pounds,0.6792
frozen,1.8937,per pound,0.8924,0.3527,pounds,0.7485
fresh,1.2772,per pound,0.82,0.2646,pounds,0.4121
fresh,0.9056,per pound,0.46,0.3748,pounds,0.7378
fresh,2.5018,per pound,1.05,0.2866,pounds,0.6829
frozen,2.1257,per pound,0.8995,0.3638,pounds,0.8597
canned,0.9719,per pound,0.65,0.3858,pounds,0.5768
fresh,2.1849,per pound,0.76,0.3858,pounds,1.1091
fresh,0.9952,per pound,0.95,0.2425,pounds,0.254
canned,1.4004,per pound,0.65,0.3748,pounds,0.8075
frozen,1.8995,per pound,1.097,0.3748,pounds,0.6489
fresh,1.1513,per pound,0.71,0.3638,pounds,0.5898
frozen,2.0033,per pound,0.97,0.3105,pounds,0.6413
canned,1.5339,per pound,0.65,0.3392,pounds,0.8004
frozen,1.5296,per pound,0.99,0.3392,pounds,0.5241
frozen,1.5978,per pound,0.97,0.334,pounds,0.5502
canned,1.0496,per pound,0.65,0.3307,pounds,0.534
frozen,1.9288,per pound,0.7478,0.3307,pounds,0.853
canned,1.0492,per pound,0.65,0.3858,pounds,0.6228
fresh,1.9062,per pound,0.91,0.3197,pounds,0.6696
frozen,1.8562,per pound,0.8995,0.3748,pounds,0.7734
fresh,0.9751,per pound,0.9,0.3527,pounds,0.3822
fresh,1.2131,per pound,0.68,0.4079,pounds,0.7276
fresh,1.2904,per pound,0.62,0.3086,pounds,0.6424
fresh,1.7167,per pound,0.96,0.3417,pounds,0.6111
frozen,3.3867,per pound,1.0,0.3307,pounds,1.12
canned,1.8117,per pound,0.65,0.4409,pounds,1.229
fresh,1.5865,per pound,0.9,0.3638,pounds,0.6412
canned,1.897,per pound,0.65,0.4409,pounds,1.2868
fresh,0.5685,per pound,0.51,0.3638,pounds,0.4055
canned,1.4067,per pound,0.65,0.4409,pounds,0.9543
canned,0.8742,per pound,0.65,0.3858,pounds,0.5189
fresh,2.0292,per pound,0.94,0.3638,pounds,0.7852
fresh,2.235,per pound,0.56,0.3417,pounds,1.3638
fresh,0.6682,per pound,0.8113,0.2646,pounds,0.2179
canned,1.107,per pound,0.65,0.3417,pounds,0.582
frozen,1.5371,per pound,0.776,0.3417,pounds,0.6769
fresh,1.577,per pound,0.9,0.2756,pounds,0.4829
frozen,4.1877,per pound,1.0,0.3307,pounds,1.3849
fresh,2.1614,per pound,0.82,0.2646,pounds,0.6973
canned,1.3154,per pound,0.65,0.3748,pounds,0.7585
frozen,2.133,per pound,0.776,0.3748,pounds,1.0302
fresh,2.994,per pound,0.77,0.3307,pounds,1.2859
fresh,2.58,per pound,0.94,0.3197,pounds,0.8774
frozen,2.8189,per pound,1.0,0.3307,pounds,0.9322
fresh,1.1198,per pound,0.8818,0.4409,pounds,0.5599
fresh,2.3347,per pound,0.91,0.3748,pounds,0.9616
fresh,1.1618,per pound,0.91,0.3748,pounds,0.4785
fresh,2.4176,per pound,0.75,0.3197,pounds,1.0304
canned,1.0429,per pound,0.65,0.3527,pounds,0.566
frozen,1.9451,per pound,0.776,0.3527,pounds,0.8841
fresh,0.3604,per pound,0.52,0.3307,pounds,0.2292
fresh,1.5489,per pound,0.7695,0.3968,pounds,0.7987
