RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
1.1804,per pound,0.4586,0.4519,pounds,1.1633
1.5193,per pound,0.9,0.2425,pounds,0.4094
1.066,per pound,1.0,0.5401,pounds,0.5758
0.5853,per pint,1.0,8.0,fluid ounces,0.2926
0.7804,per pint,1.0,8.0,fluid ounces,0.3902
2.9665,per pound,0.93,0.3638,pounds,1.1603
6.6188,per pound,1.0,0.1433,pounds,0.9485
1.6905,per pound,1.0,0.5401,pounds,0.9131
2.06,per pound,0.65,0.4409,pounds,1.3974
2.1913,per pound,0.375,0.3858,pounds,2.2545
3.4119,per pound,0.65,0.3858,pounds,2.0251
2.7576,per pound,0.4938,0.3968,pounds,2.2159
3.1269,per pound,0.65,0.3968,pounds,1.909
6.7045,per pound,1.0335,0.3968,pounds,2.5742
2.2368,per pound,0.7408,0.3197,pounds,0.9653
0.5249,per pound,0.64,0.3307,pounds,0.2712
1.2684,per pound,0.65,0.3748,pounds,0.7314
3.5585,per pound,1.0,0.3307,pounds,1.1768
1.0281,per pound,0.65,0.3858,pounds,0.6102
1.3753,per pound,2.4692,0.3858,pounds,0.2149
6.0172,per pound,0.96,0.3197,pounds,2.0037
3.6362,per pound,1.0,0.3307,pounds,1.2025
1.0375,per pound,0.65,0.3748,pounds,0.5982
1.7584,per pound,2.5397,0.3858,pounds,0.2671
4.1739,per pound,0.95,0.3197,pounds,1.4045
3.3898,per pound,1.0,0.3307,pounds,1.121
2.1543,per pound,0.8818,0.3417,pounds,0.8348
2.7486,per pound,1.0,0.3417,pounds,0.9393
2.3065,per pound,0.78,0.3417,pounds,1.0105
2.6895,per pound,1.06,0.3417,pounds,0.867
2.6214,per pound,0.96,0.3417,pounds,0.9331
1.2325,per pound,0.714,0.4519,pounds,0.7802
0.7025,per pound,0.7788,0.3307,pounds,0.2983
1.0985,per pound,0.7791,0.3307,pounds,0.4663
1.2823,per pound,0.65,0.3086,pounds,0.6089
0.5767,per pound,0.51,0.3748,pounds,0.4238
1.1315,per pound,0.65,0.3197,pounds,0.5565
1.6763,per pound,0.98,0.3197,pounds,0.5468
1.2716,per pound,1.0,0.2756,pounds,0.3504
0.8703,per pound,0.8158,0.3197,pounds,0.341
0.8703,per pound,0.89,0.2756,pounds,0.2695
1.9946,per pound,0.9304,0.2756,pounds,0.5908
3.5859,per pound,0.9702,0.2756,pounds,1.0185
1.9769,per pound,0.8926,0.2756,pounds,0.6103
2.4041,per pound,1.0,0.2646,pounds,0.636
0.9842,per pound,0.73,0.2646,pounds,0.3567
