MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","
            
    Stars:
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
","414,849",23.0,
Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ",9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","
            
    Stars:
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
","1,552,311",49.0,
Sherlock,(2010–2017),"
Crime, Drama, Mystery            ",9.1,"
A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","
            
    Stars:
Benedict Cumberbatch, 
Martin Freeman, 
Una Stubbs, 
Rupert Graves
","839,029",88.0,
Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"
In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","
            
    Stars:
Dee Bradley Baker, 
Zach Tyler, 
Mae Whitman, 
Jack De Sena
","265,845",23.0,
Hagane no renkinjutsushi,(2009–2012),"
Animation, Action, Adventure            ",9.1,"
Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","
            
    Stars:
Kent Williams, 
Iemasa Kayumi, 
Vic Mignogna, 
Romi Pak
","134,855",24.0,
The Last Dance,(2020),"
Documentary, Biography, History            ",9.1,"
Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","
            
    Stars:
Phil Jackson, 
Michael Jordan, 
David Aldridge, 
Scottie Pippen
","93,041",491.0,
Cosmos: A Spacetime Odyssey,(2014),"
Documentary            ",9.3,"
An exploration of our discovery of the laws of nature and coordinates in space and time.","
            
    Stars:
Neil deGrasse Tyson, 
Stoney Emshwiller, 
Piotr Michael, 
André Sogliuzzo
","114,386",557.0,
Kota Factory,(2019),"
Comedy, Drama            ",9.2,"
Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","
            
    Stars:
Mayur More, 
Jitendra Kumar, 
Ranjan Raj, 
Revathi Pillai
","52,724",45.0,
Leyla ile Mecnun,(2011–2021),"
Adventure, Comedy, Drama            ",9.1,"
Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","
            
    Stars:
Ali Atay, 
Ahmet Mümtaz Taylan, 
Serkan Keskin, 
Cengiz Bozkurt
","90,655",80.0,
Eung-dab-ha-ra 1988,(2015–2016),"
Comedy, Drama, Family            ",9.1,"
Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.","
            
    Stars:
Hyeri Lee, 
Go Kyung-Pyo, 
Ryu Jun-Yeol, 
Park Bo-Gum
","4,663",90.0,
Our Planet,(2019),"
Documentary            ",9.3,"
Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.","
            
    Star:
David Attenborough
","36,473",403.0,
Naui Ajusshi,(2018),"
Drama, Family            ",9.1,"
A man in his 40's withstands the weight of life. A woman in her 20's goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.","
            
    Stars:
Sun-kyun Lee, 
Ji-eun Lee, 
Ji-Ah Lee, 
Park Ho-San
","3,944",70.0,
Word of Honor,(2021– ),"
Action, Drama, Fantasy            ",9.1,"
Zhou Zi Shu gets embroiled in a conspiracy in the martial arts world. He meets Wen Ke Xing who escapes from the Ghost Valley to avenge his parents' deaths. They become fast friends and embark on an adventure to find a legendary treasure.","
            
    Stars:
Jun Gong, 
Zhehan Zhang, 
Ye Zhou, 
Wenyuan Ma
","2,166",45.0,
Kotaro Lives Alone,(2021),"
Drama            ",9.2,"
Shin Karino is an unpopular manga artist who spends his days meaningless in his apartment. One day, he meets his new neighbor, Kotaro Sato, a 5-year-old child who will be living alone. Shin...                See full summary »
","
            
    Stars:
Natsuki Deguchi, 
Eito Kawahara, 
Mahiru Konno, 
Rie Minemura
",62,,
Yeh Meri Family,(2018),"
Comedy, Drama, Family            ",9.1,"
Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.","
            
    Stars:
Vishesh Bansal, 
Mona Singh, 
Akarsh Khurana, 
Ahan Nirban
","21,890",30.0,
CM101MMXI Fundamentals,(2013),"
Documentary, Comedy            ",9.2,"
The funny little details of everyday life; the simple things that makes us laugh. An unforgettable performance from Cem Yilmaz. Yilmaz captures the audience with his hilarious stories about...                See full summary »
","
    Director:
Murat Dündar
| 
    Star:
Cem Yilmaz
","44,464",139.0,
Stranger Things: Spotlight,(2018),"
Talk-Show            ",9.4,"
Add a Plot
","
",98,,
Hans Zimmer: Live in Prague,(2017 TV Special),"
Documentary, Music            ",9.1,"
The renowned film score composer leads a concert featuring his cinematic compositions.","
    Director:
Tim Van Someren
| 
    Stars:
Hans Zimmer, 
Yolanda Charles, 
Michael Einziger, 
Nick Glennie-Smith
","2,472",150.0,
Doble Kara,(2015–2017),"
Comedy, Crime, Drama            ",9.1,"
Add a Plot
","
            
    Stars:
Mylene Dizon, 
Julia Montes, 
Carmina Villaroel, 
Bernard Carritero
",12,,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.4,"
While Katara herself becomes a great waterbending master, Commander Zhao plans a siege on the Northern Water Tribe. Meanwhile, Sokka's on a mission to stop this siege while Aang tries to buy them some time.","
    Directors:
Dave Filoni, 
Lauren MacMullan
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Dante Basco
","3,721",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.6,"
As Zuko tries to make it by in exile without his uncle, he remembers how his father became Firelord and what happened to his mother.","
    Director:
Lauren MacMullan
| 
    Stars:
Dante Basco, 
Grey Griffin, 
Mako, 
Gary Anthony Sturgis
","4,263",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.3,"
A series of short stories covering some of the time spent by Katara, Toph, Iroh, Sokka, Aang, Zuko and Momo as they live in Ba Sing Se.","
    Director:
Ethan Spaulding
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","4,347",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.2,"
While looking for an Earthbending teacher, Aang, and his friends discover a young blind girl with secrets of her own.","
    Director:
Ethan Spaulding
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,451",25.0,
 The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",9.3,"
Colonel Stinkmeaner returns from Hell after making a deal with the Devil, and possesses Tom in order to take revenge on Granddad.","
    Directors:
Seung Eun Kim, 
Bob Hathcock
| 
    Stars:
Regina King, 
John Witherspoon, 
Cedric Yarbrough, 
Gary Anthony Williams
",413,22.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.1,"
Team Avatar is getting chased by a mysterious machine, they become sleep deprived when they try to get away from Azula and her two friends. Katara and Toph get into a heated argument, she ...                See full summary »
","
    Director:
Giancarlo Volpe
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","3,097",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.6,"
The heroes work together to stop Azula's destructive plans; Zuko finds companionship in an unlikely source and learns the time has come to make an imperative choice about his future.","
    Director:
Michael Dante DiMartino
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Michaela Jill Murphy
","4,212",25.0,
 Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",9.2,"
When Aang is captured by the Fire Nation, his only hope is a mysterious masked figure.","
    Director:
Dave Filoni
| 
    Stars:
Zach Tyler, 
Mae Whitman, 
Jack De Sena, 
Dante Basco
","3,587",25.0,
